,depth,observer,instrument,comments,geometry,state,date,Location,site
0,122,"A.G., M.D.",,SP,POINT (-107.7170427362222 37.900645211887095),CO,2021-02-10,Senator Beck,
1,138,"A.G., M.D.",,,POINT (-107.71704873622902 37.90066821194493),CO,2021-02-10,Senator Beck,
2,166,"A.G., M.D.",,,POINT (-107.71704473622596 37.900689211910574),CO,2021-02-10,Senator Beck,
3,163,"A.G., M.D.",,,POINT (-107.71705373623588 37.900716211996446),CO,2021-02-10,Senator Beck,
4,153,"A.G., M.D.",,,POINT (-107.71705473623793 37.90074221200863),CO,2021-02-10,Senator Beck,
5,153,"A.G., M.D.",,,POINT (-107.71705873624293 37.90076921204851),CO,2021-02-10,Senator Beck,
6,150,"A.G., M.D.",,,POINT (-107.71706373624897 37.90079721209772),CO,2021-02-10,Senator Beck,
7,152,"A.G., M.D.",,,POINT (-107.71705873624532 37.90082721205521),CO,2021-02-10,Senator Beck,
8,152,"A.G., M.D.",,,POINT (-107.71705473624273 37.900859212022155),CO,2021-02-10,Senator Beck,
9,162,"A.G., M.D.",,,POINT (-107.71705173624053 37.90087721199665),CO,2021-02-10,Senator Beck,
10,158,"A.G., M.D.",,,POINT (-107.71704973624007 37.90091321198242),CO,2021-02-10,Senator Beck,
11,153,"A.G., M.D.",,,POINT (-107.71705373624555 37.900951212023585),CO,2021-02-10,Senator Beck,
12,154,"A.G., M.D.",,,POINT (-107.7170517362447 37.90097821200833),CO,2021-02-10,Senator Beck,
13,151,"A.G., M.D.",,,POINT (-107.71705073624466 37.90100121200179),CO,2021-02-10,Senator Beck,
14,153,"A.G., M.D.",,,POINT (-107.71705073624568 37.90102621200467),CO,2021-02-10,Senator Beck,
15,144,"A.G., M.D.",,,POINT (-107.71704873624476 37.90105121198919),CO,2021-02-10,Senator Beck,
16,155,"A.G., M.D.",,,POINT (-107.71705073624781 37.901078212010674),CO,2021-02-10,Senator Beck,
17,143,"A.G., M.D.",,,POINT (-107.71705173624994 37.90110621202312),CO,2021-02-10,Senator Beck,
18,139,"A.G., M.D.",,,POINT (-107.71705373625319 37.901137212045086),CO,2021-02-10,Senator Beck,
19,146,"A.G., M.D.",,,POINT (-107.71706473626476 37.901157212148526),CO,2021-02-10,Senator Beck,
20,131,"A.G., M.D.",,,POINT (-107.71706173626293 37.901184212124065),CO,2021-02-10,Senator Beck,
21,153,"A.G., M.D.",,,POINT (-107.71705573625827 37.90121321207227),CO,2021-02-10,Senator Beck,
22,178,"A.G., M.D.",,,POINT (-107.71704673625048 37.90123821199242),CO,2021-02-10,Senator Beck,
23,144,"A.G., M.D.",,,POINT (-107.71704573625063 37.901265211986356),CO,2021-02-10,Senator Beck,
24,149,"A.G., M.D.",,,POINT (-107.71704273624893 37.90129521196222),CO,2021-02-10,Senator Beck,
25,154,"A.G., M.D.",,NP,POINT (-107.71704473625195 37.90132121198363),CO,2021-02-10,Senator Beck,
26,140,"A.G., M.D.",,EP,POINT (-107.71667673587815 37.90098020856153),CO,2021-02-10,Senator Beck,
27,149,"A.G., M.D.",,,POINT (-107.71666073586248 37.90097920841434),CO,2021-02-10,Senator Beck,
28,158,"A.G., M.D.",,,POINT (-107.7167067359072 37.90097320883646),CO,2021-02-10,Senator Beck,
29,161,"A.G., M.D.",,,POINT (-107.71672973592968 37.90097320904788),CO,2021-02-10,Senator Beck,
30,168,"A.G., M.D.",,,POINT (-107.71677673597561 37.90097320947988),CO,2021-02-10,Senator Beck,
31,165,"A.G., M.D.",,,POINT (-107.71679973599839 37.90098020969211),CO,2021-02-10,Senator Beck,
32,153,"A.G., M.D.",,,POINT (-107.71682773602568 37.90097820994923),CO,2021-02-10,Senator Beck,
33,158,"A.G., M.D.",,,POINT (-107.71686373606109 37.90098321028072),CO,2021-02-10,Senator Beck,
34,148,"A.G., M.D.",,,POINT (-107.71689373609053 37.90098621055685),CO,2021-02-10,Senator Beck,
35,150,"A.G., M.D.",,,POINT (-107.71694273613836 37.90098421100702),CO,2021-02-10,Senator Beck,
36,163,"A.G., M.D.",,,POINT (-107.71696773616276 37.90098321123672),CO,2021-02-10,Senator Beck,
37,156,"A.G., M.D.",,,POINT (-107.7170107362046 37.90097821163143),CO,2021-02-10,Senator Beck,
38,150,"A.G., M.D.",,,POINT (-107.71706873626181 37.90099021216599),CO,2021-02-10,Senator Beck,
39,155,"A.G., M.D.",,,POINT (-107.71710273629526 37.90099521247913),CO,2021-02-10,Senator Beck,
40,142,"A.G., M.D.",,,POINT (-107.71714673633875 37.9010062128849),CO,2021-02-10,Senator Beck,
41,149,"A.G., M.D.",,,POINT (-107.71717773636902 37.90100521316976),CO,2021-02-10,Senator Beck,
42,157,"A.G., M.D.",,,POINT (-107.71720573639641 37.90100521342717),CO,2021-02-10,Senator Beck,
43,150,"A.G., M.D.",,,POINT (-107.7172437364339 37.90101321377746),CO,2021-02-10,Senator Beck,
44,153,"A.G., M.D.",,,POINT (-107.71727673646618 37.90101321408084),CO,2021-02-10,Senator Beck,
45,153,"A.G., M.D.",,,POINT (-107.71731873650738 37.901016214467305),CO,2021-02-10,Senator Beck,
46,151,"A.G., M.D.",,,POINT (-107.71735773654561 37.9010182148261),CO,2021-02-10,Senator Beck,
47,145,"A.G., M.D.",,,POINT (-107.71738473657221 37.90102321507489),CO,2021-02-10,Senator Beck,
48,142,"A.G., M.D.",,,POINT (-107.71742473661175 37.9010332154438),CO,2021-02-10,Senator Beck,
49,144,"A.G., M.D.",,,POINT (-107.71745573664218 37.90103521572905),CO,2021-02-10,Senator Beck,
50,146,"A.G., M.D.",,,POINT (-107.71748873667458 37.90103821603279),CO,2021-02-10,Senator Beck,
51,147,"A.G., M.D.",,WP,POINT (-107.71752573671094 37.901042216373476),CO,2021-02-10,Senator Beck,
52,159,"A.G., M.D.",,SP,POINT (-107.720056739199 37.90124723967873),CO,2021-02-10,Senator Beck,
53,165,"A.G., M.D.",,,POINT (-107.72004173918577 37.90128323954486),CO,2021-02-10,Senator Beck,
54,169,"A.G., M.D.",,,POINT (-107.72002973917462 37.90129823943615),CO,2021-02-10,Senator Beck,
55,141,"A.G., M.D.",,,POINT (-107.72002173916793 37.901326239365794),CO,2021-02-10,Senator Beck,
56,141,"A.G., M.D.",,,POINT (-107.720021739169 37.90135223936879),CO,2021-02-10,Senator Beck,
57,189,"A.G., M.D.",,,POINT (-107.72000373915292 37.90139023920754),CO,2021-02-10,Senator Beck,
58,149,"A.G., M.D.",,,POINT (-107.71999573914637 37.90142223913763),CO,2021-02-10,Senator Beck,
59,119,"A.G., M.D.",,,POINT (-107.71998673913863 37.90144823905781),CO,2021-02-10,Senator Beck,
60,121,"A.G., M.D.",,,POINT (-107.71998873914167 37.90147423907925),CO,2021-02-10,Senator Beck,
61,149,"A.G., M.D.",,,POINT (-107.71998873914274 37.901500239082246),CO,2021-02-10,Senator Beck,
62,156,"A.G., M.D.",,,POINT (-107.71997973913486 37.9015232390021),CO,2021-02-10,Senator Beck,
63,143,"A.G., M.D.",,,POINT (-107.71997973913605 37.90155223900546),CO,2021-02-10,Senator Beck,
64,120,"A.G., M.D.",,,POINT (-107.71997073912837 37.90158023892588),CO,2021-02-10,Senator Beck,
65,94,"A.G., M.D.",,,POINT (-107.71995473911359 37.90160223878119),CO,2021-02-10,Senator Beck,
66,85,"A.G., M.D.",,,POINT (-107.71994973910996 37.901633238738754),CO,2021-02-10,Senator Beck,
67,113,"A.G., M.D.",,,POINT (-107.71994373910508 37.90165723868632),CO,2021-02-10,Senator Beck,
68,122,"A.G., M.D.",,,POINT (-107.71993073909333 37.90168123856947),CO,2021-02-10,Senator Beck,
69,116,"A.G., M.D.",,,POINT (-107.71992373908735 37.9017032385076),CO,2021-02-10,Senator Beck,
70,62,"A.G., M.D.",,,POINT (-107.71991373907896 37.901737238419514),CO,2021-02-10,Senator Beck,
71,20,"A.G., M.D.",,,POINT (-107.71991573908181 37.90175923844048),CO,2021-02-10,Senator Beck,
72,71,"A.G., M.D.",,,POINT (-107.71990573907308 37.90178523835146),CO,2021-02-10,Senator Beck,
73,78,"A.G., M.D.",,,POINT (-107.7199007390692 37.90181023830834),CO,2021-02-10,Senator Beck,
74,138,"A.G., M.D.",,,POINT (-107.71989073906047 37.90183623821934),CO,2021-02-10,Senator Beck,
75,151,"A.G., M.D.",,,POINT (-107.71988373905484 37.90186623815838),CO,2021-02-10,Senator Beck,
76,150,"A.G., M.D.",,NP,POINT (-107.71987573904825 37.90189623808824),CO,2021-02-10,Senator Beck,
77,144,"A.G., M.D.",,SP,POINT (-107.71122373081542 37.90715515920046),CO,2021-02-10,Senator Beck,
78,138,"A.G., M.D.",,,POINT (-107.71115573074916 37.907151158576184),CO,2021-02-10,Senator Beck,
79,134,"A.G., M.D.",,,POINT (-107.71112273071732 37.90715715827416),CO,2021-02-10,Senator Beck,
80,142,"A.G., M.D.",,,POINT (-107.71108873068411 37.907153157961794),CO,2021-02-10,Senator Beck,
81,141,"A.G., M.D.",,,POINT (-107.71105173064822 37.90715515762262),CO,2021-02-10,Senator Beck,
82,154,"A.G., M.D.",,,POINT (-107.71102373062133 37.90716315736669),CO,2021-02-10,Senator Beck,
83,143,"A.G., M.D.",,,POINT (-107.71099473059316 37.907163157100676),CO,2021-02-10,Senator Beck,
84,138,"A.G., M.D.",,,POINT (-107.71096173056117 37.907165156798186),CO,2021-02-10,Senator Beck,
85,142,"A.G., M.D.",,,POINT (-107.71092673052712 37.90716415647701),CO,2021-02-10,Senator Beck,
86,144,"A.G., M.D.",,,POINT (-107.71089173049302 37.90716215615573),CO,2021-02-10,Senator Beck,
87,157,"A.G., M.D.",,,POINT (-107.71084873045127 37.90716315576146),CO,2021-02-10,Senator Beck,
88,141,"A.G., M.D.",,,POINT (-107.71081773042091 37.907157155476405),CO,2021-02-10,Senator Beck,
89,153,"A.G., M.D.",,,POINT (-107.71078273038697 37.90715915515559),CO,2021-02-10,Senator Beck,
90,144,"A.G., M.D.",,,POINT (-107.71074873035386 37.90715715484353),CO,2021-02-10,Senator Beck,
91,155,"A.G., M.D.",,,POINT (-107.71071073031695 37.90715715449497),CO,2021-02-10,Senator Beck,
92,146,"A.G., M.D.",,,POINT (-107.71067573028301 37.90715915417417),CO,2021-02-10,Senator Beck,
93,150,"A.G., M.D.",,,POINT (-107.7106467302548 37.907158153908085),CO,2021-02-10,Senator Beck,
