

Idaho (PST) SNOTEL Site Mores Creek Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Apr 04 10:38:02 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
637,2020-10-01,,     0.0,     0.0,    11.3,    22.7,     8.3,    14.7,       0,
637,2020-10-02,,     0.0,     0.0,    11.9,    23.2,     8.7,    14.7,       0,
637,2020-10-03,,     0.0,     0.0,    10.8,    21.8,     9.0,    14.4,       0,
637,2020-10-04,,     0.0,     0.0,    10.3,    21.2,     8.0,    13.6,       0,
637,2020-10-05,,     0.0,     0.0,     8.9,    22.3,     8.3,    13.8,       0,
637,2020-10-06,,     0.0,     0.0,    10.2,    21.3,     6.2,    12.7,       0,
637,2020-10-07,,     0.0,     0.0,     9.6,    22.2,     7.5,    13.6,       0,
637,2020-10-08,,     0.0,     0.0,     9.7,    21.1,     8.0,    13.2,       0,
637,2020-10-09,,     0.0,     0.0,     8.5,    20.9,     8.3,    13.1,       0,
637,2020-10-10,,     0.0,     0.0,     9.0,    19.4,     6.6,    11.7,       0,
637,2020-10-11,,     0.0,     1.1,     1.9,    13.8,     1.8,     7.8,       0,
637,2020-10-12,,     0.0,     1.1,     5.1,     5.5,    -0.6,     2.8,       0,
637,2020-10-13,,     0.0,     1.2,     4.4,    11.5,     4.3,     6.6,       0,
637,2020-10-14,,     0.0,     1.4,     5.5,     9.4,     4.3,     7.2,       0,
637,2020-10-15,,     0.0,     1.4,     0.6,     7.5,     0.6,     3.5,       0,
637,2020-10-16,,     0.0,     1.4,     1.4,     8.3,    -0.9,     2.9,       0,
637,2020-10-17,,     0.0,     1.4,    10.0,    12.6,    -0.5,     6.7,       0,
637,2020-10-18,,     0.0,     1.4,     4.2,    12.8,     4.2,     8.7,       0,
637,2020-10-19,,     0.0,     1.4,     7.8,    11.4,     4.3,     7.4,       0,
637,2020-10-20,,     0.0,     1.4,     8.6,    11.9,     5.1,     8.2,       0,
637,2020-10-21,,     0.0,     1.4,     6.1,    10.1,     4.4,     6.6,       0,
637,2020-10-22,,     0.0,     1.4,    -1.4,     8.2,    -1.8,     4.2,       0,
637,2020-10-23,,     0.0,     1.4,    -3.7,     3.6,    -3.7,    -0.6,       0,
637,2020-10-24,,     0.0,     1.4,     4.7,     6.3,    -4.9,     1.2,       0,
637,2020-10-25,,     0.0,     1.7,    -5.1,     5.0,    -6.0,     1.4,       0,
637,2020-10-26,,     0.0,     1.7,    -6.9,    -0.8,    -6.9,    -4.3,       0,
637,2020-10-27,,     0.0,     1.7,     0.0,     4.3,    -8.5,    -2.0,       0,
637,2020-10-28,,     0.0,     1.7,     2.1,    11.7,    -1.5,     4.1,       0,
637,2020-10-29,,     0.0,     1.7,     4.4,    13.6,     1.2,     6.4,       0,
637,2020-10-30,,     0.0,     1.7,     4.5,    15.0,     2.8,     7.2,       0,
637,2020-10-31,,     0.0,     1.7,     2.5,    14.3,     1.9,     7.7,       0,
